Order Date	Product Name	Category	Region	Quantity	Sales	Profit
31-12-2024	Printer	Office	North	4	3640	348.93
27-11-2022	Mouse	Accessories	East	7	1197	106.53
11-05-2022	Tablet	Electronics	South	5	5865	502.73
16-03-2024	Mouse	Accessories	South	2	786	202.87
10-09-2022	Mouse	Accessories	West	1	509	103.28
01-12-2023	Camera	Electronics	West	1	524	106.35
09-10-2023	Headphones	Accessories	North	7	6167	1027.98
14-01-2022	Camera	Electronics	South	7	3059	873.5
02-04-2022	Smartwatch	Electronics	East	9	5526	595.28
22-10-2024	Printer	Office	South	8	672	186.37
04-12-2023	Monitor	Accessories	South	6	7074	1357.68
27-09-2022	Smartwatch	Electronics	East	2	502	137.4
21-12-2023	Tablet	Electronics	North	7	7462	2166.17
03-02-2024	Smartphone	Electronics	West	5	4205	585.29
10-10-2023	Camera	Electronics	West	1	570	138.54
16-10-2022	Headphones	Accessories	East	1	441	102.42
15-05-2022	Mouse	Accessories	North	7	7469	589.81
11-02-2023	Tablet	Electronics	South	2	2212	145.75
27-12-2023	Tablet	Electronics	East	5	740	146.39
05-10-2023	Headphones	Accessories	North	1	662	193.92
05-03-2024	Mouse	Accessories	North	7	5712	651.27
18-07-2023	Smartwatch	Electronics	North	3	2739	572.73
25-06-2023	Keyboard	Accessories	West	5	1400	213.63
13-11-2023	Printer	Office	North	3	3477	939.2
09-07-2022	Camera	Electronics	North	5	3475	570.36
11-12-2023	Laptop	Electronics	West	9	6138	1562.14
18-03-2023	Camera	Electronics	West	5	3665	406.93
09-08-2024	Printer	Office	North	2	2372	206.42
04-05-2024	Laptop	Electronics	North	2	1382	211.11
04-09-2022	Laptop	Electronics	West	1	1126	194.08
21-10-2022	Printer	Office	West	8	1376	152.1
22-01-2024	Mouse	Accessories	West	4	988	147.91
09-04-2023	Laptop	Electronics	North	9	10773	1907.36
07-02-2023	Headphones	Accessories	South	4	3252	713.46
04-05-2023	Headphones	Accessories	North	3	2739	202.81
18-04-2023	Tablet	Electronics	South	7	2709	702.79
12-12-2022	Printer	Office	West	3	936	201.24
11-09-2022	Camera	Electronics	West	4	3720	410.92
26-03-2024	Mouse	Accessories	West	5	5320	716.91
